time,entity_name,entity_type,force_x,force_y,force_z,torque_x,torque_y,torque_z
1778598220.0574415,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.059351,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.060422,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0627718,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0643172,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0654879,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.066827,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0686924,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0703874,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0724318,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0744233,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0763621,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0784786,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0794997,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0814855,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.083467,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0854392,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0864887,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0883336,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.090304,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0914912,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0939903,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0953486,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.096453,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0974665,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0994077,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1014075,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1033807,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1043975,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1063335,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1074288,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1096969,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1113844,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1124718,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1137197,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.115429,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.116476,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1183698,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.120298,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1213944,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1234016,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1248717,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.12645,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1274993,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1295578,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1313548,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1324034,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.134367,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1353686,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1373491,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.138392,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1394217,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1409695,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1423824,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1434326,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1445315,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1456244,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1473784,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1484828,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1503544,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1513882,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1533992,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1553206,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.157383,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.159454,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.160465,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1615598,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1635003,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.16535,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1673687,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1684055,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1703475,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1713574,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1727846,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1743417,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1754692,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1764715,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.178363,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.179411,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1813014,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1833484,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.185393,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1884372,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1903532,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1916726,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1927335,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1947744,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1963084,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1982768,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.1994011,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2014112,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2041378,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2053065,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2065017,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.208413,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2094357,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2108316,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2123604,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.214276,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2153862,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2172976,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2183406,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2204309,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2224445,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2236662,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2255301,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2273915,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2294302,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2313318,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2323935,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.235655,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.237314,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2384992,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2395935,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2415345,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2433167,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2443922,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2463121,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2473717,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2493615,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.251103,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2523038,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2534738,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2553535,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2567813,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.258385,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.259426,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2613237,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.263394,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2656038,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2674384,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2694318,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2705252,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2724984,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2743247,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2753415,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2774484,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.279323,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2803562,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2820237,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2833657,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2843955,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2857609,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2878177,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.289478,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.291303,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.29231,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2933908,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2953842,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2974193,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.2993786,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3004534,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3023844,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3033917,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.305344,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3063653,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3073943,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.30937,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3103998,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3114665,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.312706,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3144135,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.316647,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3187954,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.320342,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3214145,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3233454,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3253167,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3263533,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3286147,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3303351,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.3314085,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
